PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2020;05;06;00005;V;00005;V;00005;V;00006;V;00006;V;00007;V;00007;V;00008;V;00010;V;00010;V;00008;V;00006;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00002;V;00002;V;00003;V;00004;V;00000;N
28;079;4;6;28079004_6_48;2020;05;06;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.3;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N
28;079;4;7;28079004_7_8;2020;05;06;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00032;V;00076;V;00074;V;00053;V;00032;V;00019;V;00012;V;00006;V;00017;V;00019;V;00003;V;00009;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;4;8;28079004_8_8;2020;05;06;00009;V;00005;V;00014;V;00024;V;00020;V;00013;V;00015;V;00033;V;00043;V;00043;V;00054;V;00047;V;00039;V;00030;V;00023;V;00041;V;00052;V;00025;V;00021;V;00009;V;00009;V;00013;V;00023;V;00000;N
28;079;4;12;28079004_12_8;2020;05;06;00010;V;00007;V;00016;V;00026;V;00021;V;00014;V;00017;V;00082;V;00159;V;00156;V;00135;V;00096;V;00068;V;00048;V;00032;V;00067;V;00081;V;00030;V;00035;V;00011;V;00011;V;00015;V;00024;V;00000;N
28;079;8;1;28079008_1_38;2020;05;06;00008;V;00007;V;00008;V;00008;V;00008;V;00008;V;00008;V;00009;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00000;N
28;079;8;6;28079008_6_48;2020;05;06;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;00000;N
28;079;8;7;28079008_7_8;2020;05;06;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00002;V;00003;V;00007;V;00006;V;00004;V;00002;V;00001;V;00003;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;8;8;28079008_8_8;2020;05;06;00018;V;00014;V;00015;V;00016;V;00020;V;00019;V;00026;V;00036;V;00046;V;00046;V;00037;V;00031;V;00025;V;00028;V;00029;V;00025;V;00023;V;00021;V;00018;V;00015;V;00016;V;00026;V;00033;V;00000;N
28;079;8;9;28079008_9_47;2020;05;06;00011;V;00007;V;00008;V;00008;V;00008;V;00013;V;00006;V;00005;V;00002;V;00006;V;00004;V;00002;V;00002;V;00004;V;00007;V;00001;V;00005;V;00009;V;00001;V;00007;V;00011;V;00008;V;00002;V;00000;N
28;079;8;10;28079008_10_47;2020;05;06;00015;V;00009;V;00011;V;00011;V;00006;V;00007;V;00010;V;00010;V;00009;V;00014;V;00011;V;00007;V;00007;V;00012;V;00017;V;00009;V;00011;V;00019;V;00002;V;00014;V;00019;V;00018;V;00008;V;00000;N
28;079;8;12;28079008_12_8;2020;05;06;00020;V;00016;V;00017;V;00018;V;00024;V;00023;V;00030;V;00041;V;00057;V;00055;V;00043;V;00034;V;00027;V;00032;V;00032;V;00027;V;00025;V;00023;V;00019;V;00017;V;00017;V;00027;V;00035;V;00000;N
28;079;8;14;28079008_14_6;2020;05;06;69.91;V;66.49;V;55.70;V;52.06;V;48.72;V;38.64;V;23.19;V;22.05;V;25.55;V;36.02;V;48.01;V;65.57;V;76.14;V;72.49;V;83.35;V;98.24;V;107.0;V;111.3;V;121.3;V;127.7;V;117.5;V;90.05;V;71.36;V;00000;N
28;079;8;20;28079008_20_59;2020;05;06;001.0;V;000.8;V;000.9;V;001.2;V;001.1;V;000.9;V;001.9;V;002.4;V;001.6;V;002.6;V;003.5;V;002.7;V;002.1;V;001.6;V;001.7;V;001.6;V;001.7;V;001.7;V;001.6;V;001.3;V;001.3;V;001.5;V;001.7;V;00000;N
28;079;8;30;28079008_30_59;2020;05;06;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;00000;N
28;079;8;35;28079008_35_59;2020;05;06;000.8;V;000.6;V;000.6;V;000.6;V;000.7;V;000.6;V;000.5;V;000.5;V;000.5;V;000.4;V;000.8;V;000.7;V;000.7;V;000.7;V;000.7;V;000.8;V;001.0;V;001.2;V;001.1;V;001.2;V;000.7;V;000.9;V;000.9;V;00000;N
28;079;8;42;28079008_42_2;2020;05;06;01.38;V;01.37;V;01.38;V;01.38;V;01.40;V;01.41;V;01.48;V;01.47;V;01.45;V;01.45;V;01.45;V;01.44;V;01.42;V;01.43;V;01.43;V;01.43;V;01.46;V;01.47;V;01.46;V;01.44;V;01.43;V;01.43;V;01.45;V;00000;N
28;079;8;43;28079008_43_2;2020;05;06;01.28;V;01.28;V;01.28;V;01.29;V;01.29;V;01.31;V;01.36;V;01.35;V;01.34;V;01.32;V;01.32;V;01.32;V;01.30;V;01.31;V;01.31;V;01.30;V;01.31;V;01.31;V;01.32;V;01.30;V;01.30;V;01.30;V;01.32;V;00000;N
28;079;8;44;28079008_44_2;2020;05;06;00.10;V;00.10;V;00.10;V;00.10;V;00.11;V;00.11;V;00.12;V;00.11;V;00.11;V;00.13;V;00.13;V;00.12;V;00.12;V;00.12;V;00.12;V;00.13;V;00.15;V;00.16;V;00.14;V;00.14;V;00.13;V;00.13;V;00.14;V;00000;N
28;079;11;7;28079011_7_8;2020;05;06;00001;V;00001;V;00001;V;00003;V;00001;V;00001;V;00001;V;00004;V;00007;V;00006;V;00007;V;00006;V;00005;V;00008;V;00008;V;00005;V;00004;V;00005;V;00004;V;00002;V;00003;V;00002;V;00006;V;00000;N
28;079;11;8;28079011_8_8;2020;05;06;00015;V;00009;V;00015;V;00013;V;00023;V;00026;V;00022;V;00048;V;00047;V;00032;V;00028;V;00025;V;00023;V;00030;V;00034;V;00030;V;00027;V;00030;V;00027;V;00026;V;00037;V;00049;V;00091;V;00000;N
28;079;11;12;28079011_12_8;2020;05;06;00016;V;00010;V;00017;V;00017;V;00024;V;00027;V;00024;V;00054;V;00058;V;00041;V;00039;V;00033;V;00031;V;00043;V;00046;V;00038;V;00033;V;00038;V;00033;V;00030;V;00041;V;00051;V;00100;V;00000;N
28;079;11;20;28079011_20_59;2020;05;06;000.2;V;000.3;V;000.3;V;000.5;V;000.8;V;001.2;V;000.9;V;001.3;V;001.5;V;001.4;V;000.9;V;000.8;V;003.1;V;000.7;V;000.8;V;000.9;V;000.7;V;000.7;V;000.7;V;000.6;V;000.7;V;000.8;V;001.2;V;00000;N
28;079;11;30;28079011_30_59;2020;05;06;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.5;V;00000;N
28;079;11;35;28079011_35_59;2020;05;06;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;00000;N
28;079;16;6;28079016_6_48;2020;05;06;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;00000;N
28;079;16;7;28079016_7_8;2020;05;06;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00007;V;00013;V;00005;V;00006;V;00004;V;00006;V;00006;V;00005;V;00005;V;00004;V;00006;V;00002;V;00002;V;00002;V;00002;V;00002;V;00000;N
28;079;16;8;28079016_8_8;2020;05;06;00008;V;00007;V;00008;V;00016;V;00017;V;00021;V;00030;V;00044;V;00041;V;00018;V;00018;V;00013;V;00019;V;00022;V;00019;V;00020;V;00019;V;00022;V;00014;V;00014;V;00019;V;00033;V;00038;V;00000;N
28;079;16;12;28079016_12_8;2020;05;06;00010;V;00010;V;00010;V;00019;V;00019;V;00023;V;00033;V;00055;V;00061;V;00025;V;00027;V;00020;V;00028;V;00031;V;00027;V;00027;V;00025;V;00031;V;00017;V;00018;V;00021;V;00036;V;00041;V;00000;N
28;079;16;14;28079016_14_6;2020;05;06;76.49;V;71.28;V;64.67;V;46.76;V;39.60;V;31.15;V;19.45;V;11.60;V;15.48;V;37.28;V;47.33;V;64.95;V;65.63;V;70.07;V;82.17;V;89.29;V;102.3;V;104.8;V;117.9;V;119.2;V;113.0;V;90.54;V;72.03;V;00000;N
28;079;17;1;28079017_1_38;2020;05;06;00008;V;00008;V;00008;V;00008;V;00009;V;00008;V;00009;V;00010;V;00009;V;00011;V;00011;V;00010;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;7;28079017_7_8;2020;05;06;00018;V;00018;V;00018;V;00018;V;00019;V;00019;V;00037;V;00067;V;00041;V;00085;V;00075;V;00046;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;8;28079017_8_8;2020;05;06;00015;V;00009;V;00010;V;00013;V;00026;V;00029;V;00049;V;00055;V;00049;V;00075;V;00070;V;00055;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;12;28079017_12_8;2020;05;06;00042;V;00037;V;00038;V;00041;V;00055;V;00058;V;00107;V;00157;V;00111;V;00206;V;00184;V;00125;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;17;14;28079017_14_6;2020;05;06;60.57;V;63.62;V;58.00;V;46.19;V;27.32;V;22.95;V;05.57;V;03.47;V;08.33;V;10.17;V;18.34;V;89.97;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N
28;079;18;1;28079018_1_38;2020;05;06;00005;V;00005;V;00005;V;00005;V;00006;V;00006;V;00006;V;00006;V;00007;V;00007;V;00007;V;00008;V;00008;V;00009;V;00009;V;00009;V;00008;V;00008;V;00008;V;00007;V;00007;V;00007;V;00006;V;00000;N
28;079;18;6;28079018_6_48;2020;05;06;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.5;V;000.7;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;00000;N
28;079;18;7;28079018_7_8;2020;05;06;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00004;V;00019;V;00026;V;00024;V;00010;V;00007;V;00005;V;00004;V;00003;V;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;18;8;28079018_8_8;2020;05;06;00008;V;00007;V;00007;V;00009;V;00007;V;00010;V;00016;V;00032;V;00042;V;00042;V;00045;V;00033;V;00027;V;00023;V;00020;V;00018;V;00020;V;00014;V;00011;V;00011;V;00013;V;00019;V;00043;V;00000;N
28;079;18;10;28079018_10_47;2020;05;06;00011;V;00005;V;00004;V;00006;V;00004;V;00005;V;00003;V;00006;V;00010;V;00012;V;00013;V;00016;V;00013;V;00017;V;00002;V;00006;V;00008;V;00013;V;00011;V;00007;V;00006;V;00015;V;00009;V;00000;N
