PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;8;1;28079008_1_38;2020;3;31;7;V;7;V;7;V;7;V;7;V;7;V;7;V;7;V;7;V;8;V;8;V;8;V;8;V;8;V;7;V;7;V;7;V;8;V;8;V;8;V;7;V;7;V;7;V;0;N
28;79;8;6;28079008_6_48;2020;3;31;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;0;N
28;79;8;7;28079008_7_8;2020;3;31;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;3;V;4;V;3;V;2;V;3;V;3;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;0;N
28;79;8;8;28079008_8_8;2020;3;31;14;V;11;V;10;V;10;V;9;V;9;V;11;V;16;V;18;V;19;V;19;V;22;V;21;V;18;V;24;V;25;V;23;V;18;V;19;V;20;V;20;V;17;V;13;V;0;N
28;79;8;9;28079008_9_47;2020;3;31;5;V;6;V;13;V;14;V;13;V;9;V;8;V;11;V;8;V;5;V;4;V;3;V;3;V;2;V;1;V;3;V;6;V;3;V;1;V;2;V;1;V;1;V;7;V;0;N
28;79;8;10;28079008_10_47;2020;3;31;9;V;10;V;17;V;18;V;16;V;12;V;12;V;15;V;11;V;8;V;7;V;6;V;5;V;6;V;2;V;5;V;9;V;6;V;3;V;4;V;2;V;2;V;8;V;0;N
28;79;8;12;28079008_12_8;2020;3;31;15;V;13;V;12;V;12;V;11;V;10;V;13;V;17;V;21;V;23;V;24;V;27;V;26;V;22;V;28;V;30;V;27;V;21;V;21;V;22;V;22;V;19;V;14;V;0;N
28;79;8;14;28079008_14_6;2020;3;31;72.00;V;74.43;V;71.38;V;69.60;V;69.34;V;70.78;V;67.58;V;60.48;V;54.75;V;56.94;V;56.65;V;56.86;V;59.73;V;60.66;V;58.90;V;53.34;V;55.03;V;62.61;V;61.87;V;60.16;V;57.43;V;60.11;V;63.87;V;0;N
28;79;8;20;28079008_20_59;2020;3;31;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;0;N
28;79;8;30;28079008_30_59;2020;3;31;000.4;V;000.4;V;000.5;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;0;N
28;79;8;35;28079008_35_59;2020;3;31;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;0;N
28;79;8;42;28079008_42_2;2020;3;31;01.47;V;01.47;V;01.48;V;01.48;V;01.48;V;01.47;V;01.45;V;01.45;V;01.45;V;01.45;V;01.44;V;01.44;V;01.44;V;01.44;V;01.44;V;01.44;V;01.44;V;01.43;V;01.43;V;01.43;V;01.44;V;01.44;V;01.43;V;0;N
