PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2020;05;19;00004;V;00005;V;00005;V;00005;V;00005;V;00007;V;00009;V;00013;V;00017;V;00009;V;00008;V;00009;V;00007;V;00004;V;00005;V;00006;V;00007;V;00005;V;00003;V;00002;V;00002;V;00003;V;00003;V;00000;N
28;079;4;6;28079004_6_48;2020;05;19;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.3;V;000.2;V;000.1;V;000.2;V;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;00000;N
28;079;4;7;28079004_7_8;2020;05;19;00001;V;00001;V;00001;V;00001;V;00001;V;00057;V;00116;V;00186;V;00362;V;00123;V;00090;V;00149;V;00092;V;00020;V;00051;V;00095;V;00141;V;00078;V;00037;V;00007;V;00001;V;00001;V;00002;V;00000;N
28;079;4;8;28079004_8_8;2020;05;19;00017;V;00007;V;00010;V;00016;V;00016;V;00035;V;00062;V;00087;V;00157;V;00086;V;00067;V;00096;V;00076;V;00041;V;00052;V;00086;V;00094;V;00069;V;00046;V;00021;V;00007;V;00011;V;00037;V;00000;N
28;079;4;12;28079004_12_8;2020;05;19;00019;V;00009;V;00012;V;00018;V;00018;V;00122;V;00241;V;00372;V;00712;V;00274;V;00205;V;00325;V;00217;V;00072;V;00130;V;00232;V;00309;V;00189;V;00103;V;00031;V;00009;V;00013;V;00039;V;00000;N
28;079;8;1;28079008_1_38;2020;05;19;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00000;N
28;079;8;6;28079008_6_48;2020;05;19;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;00000;N
28;079;8;7;28079008_7_8;2020;05;19;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00006;V;00005;V;00003;V;00002;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00000;N
28;079;8;8;28079008_8_8;2020;05;19;00015;V;00011;V;00013;V;00015;V;00016;V;00014;V;00019;V;00031;V;00044;V;00041;V;00036;V;00032;V;00029;V;00031;V;00027;V;00022;V;00024;V;00023;V;00020;V;00014;V;00014;V;00022;V;00042;V;00000;N
28;079;8;9;28079008_9_47;2020;05;19;00005;V;00003;V;00001;V;00014;V;00005;V;00003;V;00006;V;00011;V;00013;V;00013;V;00012;V;00010;V;00007;V;00002;V;00015;V;00008;V;00011;V;00018;V;00010;V;00005;V;00006;V;00005;V;00001;V;00000;N
28;079;8;10;28079008_10_47;2020;05;19;00009;V;00008;V;00004;V;00019;V;00006;V;00005;V;00011;V;00017;V;00021;V;00024;V;00023;V;00020;V;00015;V;00010;V;00021;V;00011;V;00016;V;00024;V;00016;V;00008;V;00010;V;00009;V;00005;V;00000;N
28;079;8;12;28079008_12_8;2020;05;19;00016;V;00013;V;00014;V;00016;V;00017;V;00016;V;00021;V;00034;V;00052;V;00048;V;00041;V;00036;V;00032;V;00035;V;00029;V;00023;V;00026;V;00025;V;00021;V;00016;V;00016;V;00024;V;00046;V;00000;N
28;079;8;14;28079008_14_6;2020;05;19;73.94;V;85.29;V;74.35;V;68.88;V;61.60;V;64.27;V;53.22;V;41.85;V;34.85;V;45.34;V;58.03;V;72.00;V;82.78;V;90.21;V;101.4;V;106.3;V;106.2;V;105.5;V;95.59;V;97.65;V;92.50;V;73.51;V;34.44;V;00000;N
28;079;8;20;28079008_20_59;2020;05;19;004.2;V;002.1;V;001.5;V;001.7;V;002.3;V;004.0;V;002.3;V;001.9;V;002.7;V;011.5;V;006.8;V;006.5;V;004.6;V;004.2;V;003.1;V;003.0;V;004.6;V;003.8;V;014.8;V;007.8;V;005.4;V;006.9;V;006.3;V;00000;N
28;079;8;30;28079008_30_59;2020;05;19;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.4;V;000.5;V;00000;N
28;079;8;35;28079008_35_59;2020;05;19;001.1;V;000.9;V;000.9;V;000.9;V;000.9;V;000.9;V;000.8;V;000.8;V;000.7;V;000.8;V;002.3;V;002.6;V;001.8;V;001.5;V;001.2;V;000.9;V;001.2;V;001.6;V;001.6;V;001.6;V;001.4;V;001.2;V;001.2;V;00000;N
28;079;8;42;28079008_42_2;2020;05;19;01.41;V;01.39;V;01.40;V;01.40;V;01.42;V;01.41;V;01.41;V;01.41;V;01.43;V;01.45;V;01.51;V;01.47;V;01.45;V;01.44;V;01.41;V;01.42;V;01.45;V;01.47;V;01.47;V;01.46;V;01.46;V;01.48;V;01.48;V;00000;N
28;079;8;43;28079008_43_2;2020;05;19;01.30;V;01.29;V;01.29;V;01.30;V;01.30;V;01.30;V;01.30;V;01.30;V;01.31;V;01.31;V;01.31;V;01.30;V;01.30;V;01.29;V;01.28;V;01.28;V;01.28;V;01.28;V;01.28;V;01.28;V;01.30;V;01.31;V;01.31;V;00000;N
28;079;8;44;28079008_44_2;2020;05;19;00.11;V;00.10;V;00.10;V;00.10;V;00.12;V;00.11;V;00.11;V;00.11;V;00.12;V;00.15;V;00.20;V;00.16;V;00.15;V;00.15;V;00.13;V;00.14;V;00.17;V;00.19;V;00.19;V;00.17;V;00.16;V;00.17;V;00.17;V;00000;N
28;079;11;7;28079011_7_8;2020;05;19;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00005;V;00009;V;00004;V;00009;V;00016;V;00011;V;00005;V;00004;V;00004;V;00005;V;00005;V;00008;V;00001;V;00001;V;00002;V;00000;N
28;079;11;8;28079011_8_8;2020;05;19;00007;V;00004;V;00005;V;00008;V;00008;V;00009;V;00019;V;00036;V;00031;V;00028;V;00023;V;00033;V;00048;V;00045;V;00023;V;00020;V;00018;V;00017;V;00019;V;00024;V;00016;V;00025;V;00045;V;00000;N
28;079;11;12;28079011_12_8;2020;05;19;00009;V;00006;V;00006;V;00009;V;00009;V;00010;V;00021;V;00038;V;00039;V;00042;V;00030;V;00046;V;00073;V;00062;V;00031;V;00025;V;00023;V;00025;V;00027;V;00036;V;00017;V;00026;V;00048;V;00000;N
28;079;11;20;28079011_20_59;2020;05;19;000.2;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.3;V;000.3;V;000.5;V;000.5;V;000.4;V;000.7;V;000.9;V;001.3;V;001.6;V;000.5;V;000.4;V;000.2;V;000.2;V;000.3;V;000.6;V;000.7;V;000.7;V;00000;N
28;079;11;30;28079011_30_59;2020;05;19;000.1;V;000.1;V;000.1;V;000.3;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.2;V;00000;N
28;079;11;35;28079011_35_59;2020;05;19;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.5;V;000.1;V;000.1;V;000.3;V;000.1;V;000.1;V;000.2;V;000.2;V;000.1;V;00000;N
