PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;8;1;28079008_1_38;2020;04;08;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;N;00007;V;00007;V;00007;V;00000;N
28;079;8;6;28079008_6_48;2020;04;08;000.7;V;000.8;V;000.4;V;000.2;V;000.4;V;000.5;V;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;N;000.2;V;000.3;V;000.3;V;00000;N
28;079;8;7;28079008_7_8;2020;04;08;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00006;V;00005;V;00003;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;N;00001;V;00001;V;00002;V;00000;N
28;079;8;8;28079008_8_8;2020;04;08;00022;V;00018;V;00015;V;00016;V;00016;V;00014;V;00015;V;00020;V;00031;V;00033;V;00026;V;00020;V;00016;V;00013;V;00012;V;00010;V;00009;V;00009;V;00010;V;00010;N;00012;V;00018;V;00027;V;00000;N
28;079;8;9;28079008_9_47;2020;04;08;00014;V;00032;V;00013;V;00018;V;00010;V;00016;V;00011;V;00008;V;00009;V;00013;V;00003;V;00015;V;00019;V;00014;V;00013;V;00016;V;00011;V;00007;V;00001;V;00015;N;00005;V;00003;V;00006;V;00000;N
28;079;8;10;28079008_10_47;2020;04;08;00016;V;00035;V;00015;V;00023;V;00014;V;00019;V;00014;V;00013;V;00013;V;00020;V;00007;V;00022;V;00025;V;00019;V;00018;V;00020;V;00015;V;00009;V;00004;V;00021;N;00007;V;00005;V;00009;V;00000;N
28;079;8;12;28079008_12_8;2020;04;08;00026;V;00019;V;00017;V;00018;V;00018;V;00016;V;00016;V;00023;V;00040;V;00040;V;00030;V;00023;V;00018;V;00015;V;00014;V;00012;V;00011;V;00011;V;00011;V;00011;N;00014;V;00020;V;00030;V;00000;N
28;079;8;14;28079008_14_6;2020;04;08;13.91;V;21.25;V;20.90;V;25.78;V;20.68;V;40.27;V;44.45;V;37.18;V;21.64;V;38.64;V;51.69;V;59.33;V;69.42;V;75.40;V;78.47;V;79.05;V;74.31;V;75.56;V;74.21;V;72.65;N;64.45;V;44.77;V;28.59;V;00000;N
28;079;8;20;28079008_20_59;2020;04;08;000.8;V;000.7;V;000.8;V;000.6;V;000.6;V;000.7;V;000.6;V;000.4;V;000.6;V;000.9;V;000.5;V;000.4;V;000.5;V;000.4;V;000.5;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;N;000.3;V;000.4;V;000.9;V;00000;N
28;079;8;30;28079008_30_59;2020;04;08;000.4;V;000.5;V;000.5;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.4;V;000.3;V;000.2;V;000.2;V;000.1;V;000.2;V;000.2;V;000.2;N;000.2;V;000.2;V;000.2;V;00000;N
28;079;8;35;28079008_35_59;2020;04;08;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;N;000.3;V;000.4;V;000.4;V;00000;N
28;079;8;42;28079008_42_2;2020;04;08;01.76;V;01.72;V;01.56;V;01.69;V;01.77;V;01.64;V;01.53;V;01.49;V;01.54;V;01.52;V;01.54;V;01.50;V;01.48;V;01.48;V;01.48;V;01.49;V;01.51;V;01.47;V;01.45;V;01.43;N;01.43;V;01.44;V;01.48;V;00000;N
28;079;8;43;28079008_43_2;2020;04;08;01.68;V;01.64;V;01.49;V;01.64;V;01.71;V;01.58;V;01.48;V;01.44;V;01.49;V;01.47;V;01.48;V;01.44;V;01.41;V;01.42;V;01.41;V;01.43;V;01.44;V;01.38;V;01.37;V;01.36;N;01.37;V;01.38;V;01.40;V;00000;N
28;079;8;44;28079008_44_2;2020;04;08;00.08;V;00.08;V;00.07;V;00.05;V;00.06;V;00.06;V;00.05;V;00.05;V;00.05;V;00.05;V;00.06;V;00.07;V;00.07;V;00.07;V;00.06;V;00.06;V;00.07;V;00.08;V;00.08;V;00.07;N;00.06;V;00.07;V;00.08;V;00000;N
28;079;11;7;28079011_7_8;2020;04;08;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00006;V;00006;V;00005;V;00004;V;00005;V;00003;V;00003;V;00006;V;00003;V;00004;V;00003;V;00002;V;00002;V;00001;V;00001;V;00003;V;00000;N
28;079;11;8;28079011_8_8;2020;04;08;00024;V;00020;V;00022;V;00017;V;00019;V;00015;V;00018;V;00030;V;00048;V;00031;V;00026;V;00020;V;00012;V;00013;V;00017;V;00010;V;00009;V;00009;V;00008;V;00010;V;00011;V;00017;V;00043;V;00000;N
28;079;11;12;28079011_12_8;2020;04;08;00026;V;00021;V;00023;V;00019;V;00020;V;00017;V;00023;V;00039;V;00058;V;00038;V;00033;V;00028;V;00016;V;00018;V;00026;V;00014;V;00015;V;00014;V;00011;V;00013;V;00012;V;00018;V;00048;V;00000;N
28;079;11;20;28079011_20_59;2020;04;08;000.3;V;000.4;V;000.4;V;000.4;V;000.5;V;000.4;V;000.2;V;000.3;V;000.4;V;000.7;V;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.1;V;000.2;V;000.2;V;000.3;V;00000;N
28;079;11;30;28079011_30_59;2020;04;08;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.4;V;000.5;V;000.3;V;000.2;V;000.4;V;000.1;V;000.1;V;000.2;V;000.8;V;000.4;V;000.1;V;000.3;V;000.5;V;000.5;V;000.2;V;00000;N
28;079;11;35;28079011_35_59;2020;04;08;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;00000;N
28;079;16;6;28079016_6_48;2020;04;08;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;00000;N
28;079;16;7;28079016_7_8;2020;04;08;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00004;V;00004;V;00005;V;00005;V;00004;V;00003;V;00004;V;00003;V;00003;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00003;V;00000;N
28;079;16;8;28079016_8_8;2020;04;08;00021;V;00017;V;00017;V;00018;V;00021;V;00011;V;00018;V;00030;V;00031;V;00027;V;00015;V;00010;V;00007;V;00009;V;00007;V;00007;V;00005;V;00005;V;00004;V;00006;V;00012;V;00023;V;00043;V;00000;N
28;079;16;12;28079016_12_8;2020;04;08;00025;V;00020;V;00020;V;00021;V;00024;V;00014;V;00021;V;00036;V;00038;V;00035;V;00022;V;00016;V;00012;V;00015;V;00012;V;00012;V;00009;V;00009;V;00008;V;00010;V;00015;V;00027;V;00047;V;00000;N
28;079;16;14;28079016_14_6;2020;04;08;22.67;V;29.80;V;26.66;V;23.39;V;17.41;V;48.45;V;51.71;V;40.87;V;40.75;V;46.92;V;55.73;V;70.30;V;75.03;V;74.49;V;80.63;V;81.37;V;75.84;V;79.17;V;83.31;V;78.89;V;69.60;V;53.74;V;30.01;V;00000;N
