PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2020;06;12;00005;V;00005;V;00006;V;00006;V;00006;V;00007;V;00007;V;00007;V;00008;V;00008;V;00006;V;00006;V;00006;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00000;N
28;079;4;6;28079004_6_48;2020;06;12;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N
28;079;4;7;28079004_7_8;2020;06;12;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00004;V;00015;V;00008;V;00008;V;00005;V;00004;V;00003;V;00004;V;00005;V;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;4;8;28079004_8_8;2020;06;12;00003;V;00003;V;00002;V;00002;V;00002;V;00003;V;00008;V;00017;V;00019;V;00029;V;00019;V;00018;V;00013;V;00010;V;00009;V;00012;V;00010;V;00006;V;00004;V;00004;V;00006;V;00010;V;00007;V;00000;N
28;079;4;12;28079004_12_8;2020;06;12;00005;V;00005;V;00003;V;00003;V;00003;V;00004;V;00009;V;00021;V;00025;V;00052;V;00031;V;00030;V;00022;V;00017;V;00013;V;00018;V;00017;V;00009;V;00005;V;00005;V;00007;V;00011;V;00009;V;00000;N
28;079;8;1;28079008_1_38;2020;06;12;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;N;00008;V;00008;V;00008;V;00008;V;00008;V;00008;N;00008;V;00008;V;00000;N
28;079;8;6;28079008_6_48;2020;06;12;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;000.3;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;N;000.3;V;000.2;V;00000;N
28;079;8;7;28079008_7_8;2020;06;12;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00004;V;00012;V;00016;V;00015;V;00011;V;00010;V;00008;V;00008;V;00009;N;00007;V;00007;V;00005;V;00005;V;00004;V;00005;N;00003;V;00003;V;00000;N
28;079;8;8;28079008_8_8;2020;06;12;00010;V;00010;V;00009;V;00007;V;00008;V;00007;V;00015;V;00033;V;00035;V;00036;V;00028;V;00023;V;00024;V;00024;V;00023;N;00022;V;00020;V;00017;V;00017;V;00018;V;00022;N;00025;V;00020;V;00000;N
28;079;8;12;28079008_12_8;2020;06;12;00013;V;00012;V;00011;V;00009;V;00010;V;00009;V;00021;V;00051;V;00059;V;00059;V;00044;V;00039;V;00037;V;00036;V;00036;N;00032;V;00031;V;00025;V;00024;V;00024;V;00029;N;00030;V;00025;V;00000;N
28;079;8;14;28079008_14_6;2020;06;12;62.84;V;63.43;V;68.81;V;68.19;V;64.82;V;63.92;V;54.14;V;39.58;V;39.12;V;42.94;V;52.07;V;57.77;V;59.15;V;59.24;V;64.40;V;65.18;V;64.07;V;69.52;V;69.14;V;67.33;V;64.11;N;56.67;V;63.70;V;00000;N
28;079;8;20;28079008_20_59;2020;06;12;000.6;V;000.4;V;000.5;V;000.4;V;000.3;V;000.3;V;000.4;V;000.6;V;001.4;V;003.3;V;002.2;V;001.5;V;001.6;V;001.7;V;002.1;N;001.4;V;001.3;V;001.6;V;001.4;V;001.3;V;001.3;N;002.0;V;002.1;V;00000;N
28;079;8;30;28079008_30_59;2020;06;12;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.4;V;000.6;V;000.5;V;000.3;V;000.3;V;000.3;V;000.4;N;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;000.3;N;000.4;V;000.4;V;00000;N
28;079;8;35;28079008_35_59;2020;06;12;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;N;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;N;000.3;V;000.3;V;00000;N
28;079;8;42;28079008_42_2;2020;06;12;01.34;V;01.35;V;01.35;V;01.35;V;01.35;V;01.34;V;01.35;V;01.37;V;01.38;V;01.40;V;01.38;V;01.37;V;01.36;V;01.37;V;01.37;N;01.37;V;01.39;V;01.38;V;01.39;V;01.39;V;01.39;N;01.45;V;01.42;V;00000;N
28;079;8;43;28079008_43_2;2020;06;12;01.27;V;01.28;V;01.28;V;01.28;V;01.28;V;01.28;V;01.28;V;01.28;V;01.29;V;01.29;V;01.28;V;01.28;V;01.28;V;01.28;V;01.29;N;01.29;V;01.30;V;01.29;V;01.29;V;01.29;V;01.29;N;01.30;V;01.30;V;00000;N
28;079;8;44;28079008_44_2;2020;06;12;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.06;V;00.07;V;00.08;V;00.09;V;00.12;V;00.10;V;00.09;V;00.08;V;00.09;V;00.08;N;00.09;V;00.09;V;00.09;V;00.09;V;00.10;V;00.10;N;00.15;V;00.12;V;00000;N
28;079;11;7;28079011_7_8;2020;06;12;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00005;V;00008;V;00008;V;00006;V;00007;V;00005;V;00005;V;00003;V;00003;V;00002;V;00002;V;00003;V;00003;V;00007;V;00003;V;00000;N
28;079;11;8;28079011_8_8;2020;06;12;00006;V;00006;V;00005;V;00003;V;00004;V;00003;V;00005;V;00013;V;00021;V;00023;V;00022;V;00017;V;00017;V;00012;V;00014;V;00011;V;00010;V;00009;V;00009;V;00011;V;00014;V;00024;V;00016;V;00000;N
28;079;11;12;28079011_12_8;2020;06;12;00008;V;00008;V;00006;V;00005;V;00005;V;00004;V;00007;V;00016;V;00029;V;00035;V;00034;V;00027;V;00028;V;00020;V;00022;V;00015;V;00014;V;00013;V;00012;V;00015;V;00019;V;00035;V;00020;V;00000;N
28;079;11;20;28079011_20_59;2020;06;12;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.3;V;000.6;V;000.5;V;000.4;V;000.4;V;000.4;V;000.6;V;000.3;V;000.2;V;000.2;V;000.3;V;000.3;V;000.4;V;000.8;V;00000;N
28;079;11;30;28079011_30_59;2020;06;12;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;00000;N
28;079;11;35;28079011_35_59;2020;06;12;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N
28;079;16;6;28079016_6_48;2020;06;12;000.1;V;000.1;V;000.1;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;000.5;N;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;00000;N
28;079;16;7;28079016_7_8;2020;06;12;00002;V;00002;V;00002;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00023;N;00004;V;00006;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00002;V;00002;V;00003;V;00002;V;00000;N
28;079;16;8;28079016_8_8;2020;06;12;00002;V;00002;V;00001;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00009;N;00009;V;00012;V;00008;V;00007;V;00007;V;00005;V;00006;V;00006;V;00006;V;00008;V;00014;V;00009;V;00000;N
28;079;16;12;28079016_12_8;2020;06;12;00004;V;00004;V;00003;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00023;N;00015;V;00021;V;00014;V;00013;V;00012;V;00010;V;00011;V;00010;V;00010;V;00012;V;00018;V;00012;V;00000;N
28;079;16;14;28079016_14_6;2020;06;12;65.77;V;65.28;V;69.79;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;00000;N;39.57;N;61.24;V;59.60;V;63.77;V;68.58;V;69.80;V;69.39;V;71.36;V;72.32;V;72.00;V;71.97;V;62.03;V;64.11;V;00000;N
28;079;17;1;28079017_1_38;2020;06;12;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00000;N
28;079;17;7;28079017_7_8;2020;06;12;00019;V;00018;V;00018;V;00019;V;00018;V;00018;V;00020;V;00023;V;00023;V;00022;V;00021;V;00022;V;00021;V;00020;V;00021;V;00021;V;00021;V;00020;V;00021;V;00021;V;00022;V;00020;V;00020;V;00000;N
28;079;17;8;28079017_8_8;2020;06;12;00006;V;00005;V;00004;V;00004;V;00004;V;00005;V;00012;V;00020;V;00018;V;00016;V;00012;V;00013;V;00011;V;00011;V;00012;V;00010;V;00011;V;00010;V;00012;V;00014;V;00017;V;00018;V;00017;V;00000;N
28;079;17;12;28079017_12_8;2020;06;12;00034;V;00033;V;00032;V;00033;V;00032;V;00033;V;00043;V;00055;V;00053;V;00049;V;00045;V;00046;V;00043;V;00042;V;00044;V;00042;V;00044;V;00041;V;00044;V;00046;V;00050;V;00049;V;00048;V;00000;N
28;079;17;14;28079017_14_6;2020;06;12;63.75;V;63.40;V;69.70;V;68.18;V;64.07;V;61.17;V;53.52;V;45.20;V;48.90;V;49.37;V;55.22;V;59.20;V;61.91;V;64.60;V;65.71;V;68.04;V;67.07;V;69.50;V;68.97;V;67.46;V;65.88;V;63.48;V;58.53;V;00000;N
28;079;18;1;28079018_1_38;2020;06;12;00006;V;00006;V;00007;V;00006;V;00006;V;00007;V;00006;V;00006;V;00006;V;00006;V;00006;V;00007;V;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00007;V;00007;V;00006;V;00000;N
28;079;18;6;28079018_6_48;2020;06;12;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.5;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N
28;079;18;7;28079018_7_8;2020;06;12;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00004;V;00004;V;00003;V;00003;V;00003;V;00002;V;00004;V;00002;V;00002;V;00003;V;00002;V;00002;V;00002;V;00002;V;00001;V;00000;N
