PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2020;05;10;00005;V;00005;V;00006;V;00005;V;00005;V;00005;V;00006;V;00006;V;00006;V;00006;V;00006;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00003;V;00005;V;00005;V;00000;N
28;079;4;6;28079004_6_48;2020;05;10;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N
28;079;4;7;28079004_7_8;2020;05;10;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;4;8;28079004_8_8;2020;05;10;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00003;V;00004;V;00003;V;00002;V;00003;V;00003;V;00002;V;00002;V;00001;V;00003;V;00002;V;00001;V;00001;V;00002;V;00002;V;00003;V;00003;V;00000;N
28;079;4;12;28079004_12_8;2020;05;10;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00005;V;00005;V;00003;V;00003;V;00003;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00005;V;00005;V;00000;N
28;079;8;1;28079008_1_38;2020;05;10;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00007;V;00008;V;00008;V;00007;V;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00000;N
28;079;8;6;28079008_6_48;2020;05;10;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N
28;079;8;7;28079008_7_8;2020;05;10;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;8;8;28079008_8_8;2020;05;10;00007;V;00007;V;00006;V;00005;V;00005;V;00005;V;00006;V;00008;V;00009;V;00008;V;00008;V;00008;V;00008;V;00007;V;00008;V;00007;V;00007;V;00006;V;00007;V;00007;V;00008;V;00008;V;00009;V;00000;N
28;079;8;9;28079008_9_47;2020;05;10;00005;V;00016;V;00008;V;00001;V;00008;V;00009;V;00002;V;00007;V;00001;V;00001;V;00003;V;00001;V;00001;V;00001;V;00004;V;00003;V;00001;V;00005;V;00001;V;00006;V;00003;V;00002;V;00011;V;00000;N
28;079;8;10;28079008_10_47;2020;05;10;00008;V;00020;V;00011;V;00001;V;00009;V;00012;V;00003;V;00010;V;00006;V;00007;V;00009;V;00002;V;00004;V;00005;V;00011;V;00012;V;00002;V;00012;V;00006;V;00005;V;00006;V;00004;V;00015;V;00000;N
28;079;8;12;28079008_12_8;2020;05;10;00009;V;00008;V;00007;V;00007;V;00007;V;00007;V;00008;V;00009;V;00010;V;00009;V;00010;V;00009;V;00009;V;00009;V;00009;V;00008;V;00008;V;00007;V;00009;V;00009;V;00009;V;00009;V;00011;V;00000;N
28;079;8;14;28079008_14_6;2020;05;10;84.05;V;77.73;V;75.86;V;72.92;V;62.97;V;64.98;V;67.16;V;60.60;V;57.13;V;60.74;V;65.03;V;70.47;V;74.60;V;77.16;V;77.27;V;79.15;V;77.83;V;79.25;V;74.00;V;75.75;V;72.21;V;68.27;V;65.54;V;00000;N
28;079;8;20;28079008_20_59;2020;05;10;000.5;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.5;V;00000;N
28;079;8;30;28079008_30_59;2020;05;10;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.4;V;000.2;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.3;V;00000;N
28;079;8;35;28079008_35_59;2020;05;10;000.5;V;000.6;V;000.6;V;000.5;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.8;V;000.7;V;000.5;V;000.4;V;000.4;V;000.5;V;000.5;V;000.4;V;000.5;V;000.6;V;000.5;V;000.5;V;000.5;V;00000;N
28;079;8;42;28079008_42_2;2020;05;10;01.34;V;01.33;V;01.33;V;01.32;V;01.33;V;01.33;V;01.33;V;01.33;V;01.33;V;01.34;V;01.35;V;01.34;V;01.33;V;01.33;V;01.34;V;01.34;V;01.34;V;01.33;V;01.35;V;01.35;V;01.34;V;01.34;V;01.34;V;00000;N
28;079;8;43;28079008_43_2;2020;05;10;01.26;V;01.26;V;01.25;V;01.25;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;01.25;V;01.26;V;01.26;V;01.26;V;01.26;V;01.26;V;00000;N
28;079;8;44;28079008_44_2;2020;05;10;00.08;V;00.08;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.08;V;00.09;V;00.08;V;00.07;V;00.08;V;00.08;V;00.08;V;00.08;V;00.08;V;00.09;V;00.09;V;00.08;V;00.08;V;00.08;V;00000;N
28;079;11;7;28079011_7_8;2020;05;10;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;11;8;28079011_8_8;2020;05;10;00004;V;00003;V;00003;V;00003;V;00002;V;00004;V;00003;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00004;V;00004;V;00003;V;00002;V;00002;V;00003;V;00003;V;00003;V;00004;V;00005;V;00000;N
28;079;11;12;28079011_12_8;2020;05;10;00006;V;00005;V;00004;V;00004;V;00004;V;00007;V;00004;V;00006;V;00005;V;00005;V;00005;V;00005;V;00004;V;00006;V;00006;V;00005;V;00004;V;00004;V;00004;V;00004;V;00005;V;00006;V;00006;V;00000;N
