PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;8;1;28079008_1_38;2020;04;03;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00007;V;00007;V;00007;V;00007;V;00007;V;00007;V;00008;V;00008;V;00000;N
28;079;8;6;28079008_6_48;2020;04;03;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;00000;N
28;079;8;7;28079008_7_8;2020;04;03;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00004;V;00003;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00000;N
28;079;8;8;28079008_8_8;2020;04;03;00014;V;00012;V;00012;V;00012;V;00011;V;00012;V;00016;V;00026;V;00033;V;00031;V;00027;V;00024;V;00022;V;00020;V;00019;V;00016;V;00015;V;00014;V;00015;V;00014;V;00014;V;00022;V;00030;V;00000;N
28;079;8;9;28079008_9_47;2020;04;03;00006;V;00005;V;00004;V;00004;V;00005;V;00003;V;00006;V;00002;V;00001;V;00007;V;00006;N;00007;V;00001;V;00005;V;00013;V;00008;V;00005;V;00002;V;00008;V;00010;V;00006;V;00003;V;00005;V;00000;N
28;079;8;10;28079008_10_47;2020;04;03;00008;V;00007;V;00007;V;00007;V;00008;V;00002;V;00007;V;00005;V;00007;V;00010;V;00009;N;00009;V;00003;V;00009;V;00018;V;00012;V;00007;V;00005;V;00011;V;00012;V;00008;V;00007;V;00008;V;00000;N
28;079;8;12;28079008_12_8;2020;04;03;00015;V;00014;V;00014;V;00013;V;00012;V;00014;V;00018;V;00027;V;00036;V;00037;V;00031;V;00028;V;00025;V;00023;V;00021;V;00018;V;00016;V;00016;V;00016;V;00016;V;00016;V;00025;V;00032;V;00000;N
28;079;8;14;28079008_14_6;2020;04;03;53.75;V;58.91;V;58.71;V;60.43;V;59.54;V;54.78;V;43.37;V;31.69;V;31.12;V;38.20;V;52.45;V;58.03;V;65.09;V;71.45;V;79.21;V;87.64;V;90.75;V;93.63;V;93.18;V;92.29;V;87.36;V;68.06;V;57.64;V;00000;N
28;079;8;20;28079008_20_59;2020;04;03;000.3;V;000.3;V;000.3;V;000.3;V;000.1;V;000.4;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.5;V;000.6;V;00000;N
28;079;8;30;28079008_30_59;2020;04;03;000.4;V;000.4;V;000.3;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N
28;079;8;35;28079008_35_59;2020;04;03;000.2;V;000.2;V;000.2;V;000.4;V;000.3;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;00000;N
28;079;8;42;28079008_42_2;2020;04;03;01.47;V;01.46;V;01.46;V;01.46;V;01.45;V;01.47;V;01.47;V;01.47;V;01.48;V;01.48;V;01.48;V;01.49;V;01.47;V;01.46;V;01.47;V;01.46;V;01.47;V;01.50;V;01.53;V;01.54;V;01.56;V;01.51;V;01.52;V;00000;N
28;079;8;43;28079008_43_2;2020;04;03;01.44;V;01.43;V;01.43;V;01.43;V;01.42;V;01.44;V;01.44;V;01.44;V;01.44;V;01.43;V;01.44;V;01.44;V;01.43;V;01.42;V;01.42;V;01.41;V;01.40;V;01.43;V;01.46;V;01.48;V;01.52;V;01.46;V;01.45;V;00000;N
28;079;8;44;28079008_44_2;2020;04;03;00.04;V;00.03;V;00.03;V;00.03;V;00.03;V;00.03;V;00.03;V;00.04;V;00.04;V;00.04;V;00.04;V;00.05;V;00.05;V;00.04;V;00.05;V;00.05;V;00.06;V;00.07;V;00.07;V;00.06;V;00.04;V;00.04;V;00.06;V;00000;N
28;079;11;7;28079011_7_8;2020;04;03;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00003;V;00002;V;00006;V;00006;V;00005;V;00005;V;00003;V;00002;V;00002;V;00002;V;00001;V;00001;V;00002;V;00000;N
28;079;11;8;28079011_8_8;2020;04;03;00009;V;00007;V;00007;V;00012;V;00012;V;00012;V;00020;V;00043;V;00040;V;00020;V;00015;V;00011;V;00021;V;00024;V;00023;V;00021;V;00014;V;00015;V;00017;V;00020;V;00027;V;00035;V;00058;V;00000;N
28;079;11;12;28079011_12_8;2020;04;03;00011;V;00008;V;00009;V;00014;V;00014;V;00014;V;00021;V;00045;V;00043;V;00024;V;00020;V;00015;V;00030;V;00033;V;00032;V;00029;V;00018;V;00018;V;00020;V;00022;V;00028;V;00036;V;00061;V;00000;N
28;079;11;20;28079011_20_59;2020;04;03;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.3;V;000.2;V;000.1;V;000.1;V;000.1;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.4;V;000.5;V;001.9;V;00000;N
28;079;11;30;28079011_30_59;2020;04;03;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.5;V;00000;N
28;079;11;35;28079011_35_59;2020;04;03;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.3;V;00000;N
28;079;16;6;28079016_6_48;2020;04;03;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;00000;N
28;079;16;7;28079016_7_8;2020;04;03;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00003;V;00006;V;00004;V;00005;V;00005;V;00005;V;00004;V;00005;V;00006;V;00006;V;00004;V;00004;V;00004;V;00003;V;00002;V;00002;V;00002;V;00000;N
28;079;16;8;28079016_8_8;2020;04;03;00011;V;00008;V;00009;V;00007;V;00012;V;00015;V;00020;V;00043;V;00030;V;00015;V;00010;V;00010;V;00008;V;00011;V;00014;V;00017;V;00013;V;00012;V;00013;V;00014;V;00017;V;00033;V;00047;V;00000;N
28;079;16;12;28079016_12_8;2020;04;03;00014;V;00012;V;00012;V;00010;V;00016;V;00019;V;00024;V;00051;V;00037;V;00023;V;00017;V;00017;V;00014;V;00019;V;00022;V;00026;V;00020;V;00019;V;00019;V;00018;V;00021;V;00036;V;00050;V;00000;N
28;079;16;14;28079016_14_6;2020;04;03;51.46;V;58.17;V;56.92;V;57.41;V;52.33;V;44.28;V;36.21;V;14.62;V;28.83;V;44.70;V;57.02;V;64.94;V;74.20;V;80.09;V;81.80;V;82.18;V;90.86;V;93.28;V;94.08;V;94.79;V;88.29;V;68.62;V;50.52;V;00000;N
28;079;17;1;28079017_1_38;2020;04;03;00011;V;00009;V;00010;V;00009;V;00009;V;00009;V;00009;V;00010;V;00010;V;00008;V;00008;V;00009;V;00009;V;00008;V;00007;V;00007;V;00006;V;00006;V;00006;V;00007;V;00008;V;00009;V;00010;V;00000;N
28;079;17;7;28079017_7_8;2020;04;03;00018;V;00018;V;00018;V;00019;V;00019;V;00021;V;00035;V;00079;V;00092;V;00039;V;00024;V;00021;V;00020;V;00020;V;00020;V;00019;V;00019;V;00019;V;00019;V;00019;V;00019;V;00019;V;00021;V;00000;N
28;079;17;8;28079017_8_8;2020;04;03;00013;V;00011;V;00013;V;00015;V;00016;V;00035;V;00044;V;00053;V;00051;V;00047;V;00029;V;00016;V;00012;V;00012;V;00013;V;00011;V;00011;V;00011;V;00010;V;00011;V;00017;V;00030;V;00048;V;00000;N
28;079;17;12;28079017_12_8;2020;04;03;00042;V;00039;V;00041;V;00044;V;00044;V;00067;V;00097;V;00174;V;00193;V;00107;V;00066;V;00047;V;00043;V;00043;V;00044;V;00041;V;00041;V;00040;V;00039;V;00039;V;00045;V;00058;V;00080;V;00000;N
28;079;17;14;28079017_14_6;2020;04;03;56.20;V;59.58;V;60.09;V;51.55;V;45.32;V;18.11;V;04.43;V;02.72;V;03.05;V;24.42;V;44.91;V;65.13;V;72.31;V;78.29;V;82.12;V;89.64;V;91.61;V;94.14;V;96.50;V;95.85;V;83.51;V;61.87;V;30.02;V;00000;N
28;079;18;1;28079018_1_38;2020;04;03;00005;V;00006;V;00006;V;00006;V;00005;V;00005;V;00006;V;00005;V;00006;V;00006;V;00007;V;00008;V;00007;V;00008;V;00007;V;00007;V;00006;V;00006;V;00005;V;00005;V;00006;V;00007;V;00008;V;00000;N
28;079;18;6;28079018_6_48;2020;04;03;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;00000;N
28;079;18;7;28079018_7_8;2020;04;03;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00005;V;00011;V;00018;V;00010;V;00005;V;00004;V;00004;V;00003;V;00003;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;18;8;28079018_8_8;2020;04;03;00009;V;00010;V;00009;V;00012;V;00015;V;00019;V;00019;V;00027;V;00027;V;00028;V;00026;V;00016;V;00013;V;00013;V;00012;V;00011;V;00010;V;00010;V;00010;V;00010;V;00017;V;00031;V;00051;V;00000;N
28;079;18;10;28079018_10_47;2020;04;03;00003;V;00004;V;00004;V;00005;V;00003;V;00005;V;00005;V;00003;V;00005;V;00007;V;00008;V;00007;V;00007;V;00009;V;00011;V;00006;V;00006;V;00009;V;00006;V;00002;V;00003;V;00006;V;00006;V;00000;N
28;079;18;12;28079018_12_8;2020;04;03;00011;V;00012;V;00010;V;00014;V;00017;V;00020;V;00023;V;00035;V;00044;V;00056;V;00041;V;00023;V;00019;V;00020;V;00016;V;00015;V;00013;V;00012;V;00012;V;00012;V;00018;V;00032;V;00053;V;00000;N
28;079;18;14;28079018_14_6;2020;04;03;65.79;V;65.44;V;68.61;V;55.35;V;40.37;V;39.32;V;15.66;V;10.68;V;09.04;V;18.26;V;46.60;V;68.43;V;75.86;V;81.15;V;87.51;V;92.98;V;98.11;V;100.7;V;101.7;V;101.9;V;92.53;V;73.63;V;49.77;V;00000;N
28;079;18;20;28079018_20_59;2020;04;03;000.2;V;000.2;V;000.2;V;000.3;V;000.6;V;000.7;V;000.7;V;000.6;V;000.6;V;000.7;V;000.5;V;000.4;V;000.3;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.6;V;000.9;V;00000;N
28;079;18;30;28079018_30_59;2020;04;03;000.1;V;000.1;V;000.2;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;00000;N
28;079;18;35;28079018_35_59;2020;04;03;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N
28;079;24;1;28079024_1_38;2020;04;03;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00006;V;00006;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00006;V;00006;V;00000;N
28;079;24;6;28079024_6_48;2020;04;03;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N
28;079;24;7;28079024_7_8;2020;04;03;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00007;V;00008;V;00005;V;00003;V;00003;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;24;8;28079024_8_8;2020;04;03;00007;V;00006;V;00006;V;00006;V;00006;V;00010;V;00010;V;00008;V;00007;V;00011;V;00020;V;00015;V;00011;V;00010;V;00010;V;00006;V;00005;V;00007;V;00007;V;00007;V;00008;V;00018;V;00024;V;00000;N
28;079;24;9;28079024_9_47;2020;04;03;00005;V;00006;V;00007;V;00005;V;00004;V;00007;V;00009;V;00005;V;00005;V;00007;V;00011;V;00006;V;00006;V;00009;V;00007;V;00009;V;00009;V;00001;V;00006;V;00010;V;00009;V;00003;V;00006;V;00000;N
28;079;24;10;28079024_10_47;2020;04;03;00005;V;00007;V;00009;V;00007;V;00005;V;00009;V;00011;V;00006;V;00006;V;00008;V;00014;V;00009;V;00010;V;00013;V;00011;V;00014;V;00013;V;00003;V;00008;V;00012;V;00011;V;00005;V;00010;V;00000;N
28;079;24;12;28079024_12_8;2020;04;03;00008;V;00008;V;00008;V;00008;V;00007;V;00012;V;00011;V;00009;V;00009;V;00022;V;00033;V;00023;V;00016;V;00014;V;00014;V;00007;V;00007;V;00009;V;00009;V;00008;V;00009;V;00019;V;00025;V;00000;N
28;079;24;14;28079024_14_6;2020;04;03;53.95;V;51.81;V;51.90;V;46.45;V;43.55;V;39.52;V;17.97;V;17.70;V;12.44;V;13.57;V;38.50;V;60.03;V;66.47;V;71.18;V;74.99;V;84.17;V;87.55;V;87.40;V;89.33;V;89.40;V;87.51;V;73.57;V;59.20;V;00000;N
28;079;24;20;28079024_20_59;2020;04;03;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.4;V;000.4;V;000.4;V;001.2;V;001.6;V;000.7;V;000.4;V;000.4;V;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.7;V;00000;N
28;079;24;30;28079024_30_59;2020;04;03;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.6;V;00000;N
28;079;24;35;28079024_35_59;2020;04;03;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N
28;079;24;42;28079024_42_2;2020;04;03;01.22;V;01.22;V;01.23;V;01.22;V;01.23;V;01.25;V;01.26;V;01.25;V;01.25;V;01.26;V;01.26;V;01.25;V;01.24;V;01.23;V;01.22;V;01.20;V;01.20;V;01.22;V;01.24;V;01.28;V;01.27;V;01.26;V;01.24;V;00000;N
28;079;24;43;28079024_43_2;2020;04;03;01.18;V;01.18;V;01.18;V;01.17;V;01.17;V;01.20;V;01.21;V;01.19;V;01.20;V;01.21;V;01.19;V;01.18;V;01.18;V;01.18;V;01.17;V;01.15;V;01.15;V;01.17;V;01.19;V;01.23;V;01.22;V;01.20;V;01.17;V;00000;N
28;079;24;44;28079024_44_2;2020;04;03;00.04;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.07;V;00.06;V;00.06;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.05;V;00.07;V;00000;N
28;079;27;7;28079027_7_8;2020;04;03;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00003;V;00004;V;00003;V;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
