PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2020;05;03;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00006;V;00006;V;00005;V;00006;V;00005;V;00004;V;00004;V;00004;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00004;V;00004;V;00000;N
28;079;4;6;28079004_6_48;2020;05;03;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.5;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.4;V;000.2;V;00000;N
28;079;4;7;28079004_7_8;2020;05;03;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00003;V;00009;V;00012;V;00008;V;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00015;V;00001;V;00000;N
28;079;4;8;28079004_8_8;2020;05;03;00004;V;00006;V;00009;V;00016;V;00009;V;00007;V;00008;V;00009;V;00011;V;00013;V;00017;V;00011;V;00005;V;00005;V;00003;V;00003;V;00002;V;00002;V;00002;V;00003;V;00005;V;00054;V;00032;V;00000;N
28;079;4;12;28079004_12_8;2020;05;03;00005;V;00008;V;00010;V;00019;V;00010;V;00008;V;00011;V;00013;V;00025;V;00031;V;00030;V;00015;V;00007;V;00007;V;00004;V;00004;V;00003;V;00004;V;00004;V;00005;V;00007;V;00077;V;00034;V;00000;N
28;079;8;1;28079008_1_38;2020;05;03;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;N;00008;V;00008;V;00008;V;00000;N
28;079;8;6;28079008_6_48;2020;05;03;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;N;000.2;V;000.4;V;000.7;V;00000;N
28;079;8;7;28079008_7_8;2020;05;03;00001;V;00001;V;00001;V;00004;V;00002;V;00002;V;00001;V;00001;V;00002;V;00002;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;N;00001;V;00001;V;00003;V;00000;N
28;079;8;8;28079008_8_8;2020;05;03;00011;V;00012;V;00012;V;00018;V;00023;V;00016;V;00011;V;00013;V;00014;V;00015;V;00015;V;00014;V;00011;V;00008;V;00007;V;00007;V;00008;V;00007;V;00008;V;00009;N;00011;V;00026;V;00046;V;00000;N
28;079;8;9;28079008_9_47;2020;05;03;00031;V;00032;V;00020;V;00021;V;00020;V;00012;V;00002;V;00011;V;00012;V;00004;V;00011;V;00011;V;00015;V;00011;V;00004;V;00001;V;00013;V;00013;V;00002;V;00002;N;00009;V;00003;V;00009;V;00000;N
28;079;8;10;28079008_10_47;2020;05;03;00031;V;00029;V;00020;V;00024;V;00024;V;00014;V;00004;V;00017;V;00018;V;00009;V;00015;V;00015;V;00019;V;00014;V;00008;V;00001;V;00018;V;00019;V;00004;V;00003;N;00015;V;00008;V;00021;V;00000;N
28;079;8;12;28079008_12_8;2020;05;03;00013;V;00014;V;00013;V;00023;V;00026;V;00019;V;00013;V;00016;V;00018;V;00018;V;00019;V;00016;V;00013;V;00010;V;00009;V;00008;V;00009;V;00009;V;00009;V;00010;N;00013;V;00027;V;00051;V;00000;N
28;079;8;14;28079008_14_6;2020;05;03;42.94;V;37.98;V;34.31;V;21.53;V;13.28;V;27.76;V;28.47;V;19.94;V;24.87;V;31.20;V;40.82;V;54.08;V;67.47;V;77.74;V;80.26;V;81.54;V;81.77;V;84.44;V;85.46;V;86.04;N;76.88;V;39.51;V;19.14;V;00000;N
28;079;8;20;28079008_20_59;2020;05;03;000.8;V;000.6;V;000.7;V;000.9;V;001.6;V;001.8;V;001.2;V;001.2;V;001.2;V;001.1;V;001.0;V;000.9;V;000.8;V;000.6;V;000.5;V;000.6;V;000.6;V;000.6;V;000.7;V;000.7;N;000.6;V;001.1;V;004.7;V;00000;N
28;079;8;30;28079008_30_59;2020;05;03;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;N;000.2;V;000.4;V;001.1;V;00000;N
28;079;8;35;28079008_35_59;2020;05;03;000.8;V;000.7;V;000.7;V;000.5;V;000.7;V;000.7;V;000.6;V;000.6;V;000.6;V;000.6;V;000.9;V;001.0;V;000.9;V;000.5;V;000.6;V;000.5;V;000.7;V;000.9;V;001.4;V;001.0;N;000.8;V;000.9;V;001.1;V;00000;N
28;079;8;42;28079008_42_2;2020;05;03;01.34;V;01.36;V;01.42;V;01.55;V;01.62;V;01.50;V;01.46;V;01.49;V;01.46;V;01.45;V;01.49;V;01.47;V;01.44;V;01.54;V;01.48;V;01.39;V;01.40;V;01.42;V;01.44;V;01.42;N;01.41;V;01.46;V;01.71;V;00000;N
28;079;8;43;28079008_43_2;2020;05;03;01.25;V;01.26;V;01.32;V;01.43;V;01.49;V;01.38;V;01.36;V;01.39;V;01.36;V;01.34;V;01.35;V;01.34;V;01.33;V;01.43;V;01.38;V;01.27;V;01.25;V;01.25;V;01.27;V;01.27;N;01.27;V;01.30;V;01.40;V;00000;N
