PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;8;1;28079008_1_38;2020;04;24;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00007;V;00008;V;00008;V;00000;N
28;079;8;6;28079008_6_48;2020;04;24;000.3;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;00000;N
28;079;8;7;28079008_7_8;2020;04;24;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00004;V;00009;V;00007;V;00003;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;8;8;28079008_8_8;2020;04;24;00023;V;00022;V;00017;V;00015;V;00014;V;00013;V;00018;V;00032;V;00038;V;00035;V;00026;V;00017;V;00017;V;00014;V;00011;V;00011;V;00011;V;00009;V;00009;V;00009;V;00010;V;00011;V;00012;V;00000;N
28;079;8;9;28079008_9_47;2020;04;24;00013;V;00019;V;00014;V;00013;V;00010;V;00006;V;00010;V;00017;V;00010;V;00016;V;00010;V;00004;V;00009;V;00011;V;00010;V;00015;V;00005;V;00004;V;00003;V;00001;V;00013;V;00014;V;00013;V;00000;N
28;079;8;10;28079008_10_47;2020;04;24;00019;V;00024;V;00019;V;00017;V;00012;V;00008;V;00014;V;00022;V;00016;V;00025;V;00016;V;00008;V;00014;V;00019;V;00017;V;00019;V;00010;V;00008;V;00006;V;00002;V;00018;V;00018;V;00016;V;00000;N
28;079;8;12;28079008_12_8;2020;04;24;00025;V;00023;V;00018;V;00016;V;00016;V;00015;V;00019;V;00038;V;00052;V;00045;V;00030;V;00019;V;00019;V;00015;V;00012;V;00013;V;00012;V;00010;V;00011;V;00011;V;00011;V;00012;V;00013;V;00000;N
28;079;8;14;28079008_14_6;2020;04;24;37.15;V;37.90;V;45.13;V;48.70;V;40.23;V;46.37;V;35.34;V;14.70;V;17.95;V;31.82;V;58.51;V;72.88;V;75.43;V;84.87;V;88.51;V;89.75;V;86.67;V;83.49;V;82.09;V;79.33;V;77.00;V;70.38;V;68.04;V;00000;N
28;079;8;20;28079008_20_59;2020;04;24;001.2;V;001.3;V;001.3;V;001.0;V;001.1;V;001.2;V;001.1;V;001.0;V;001.1;V;001.0;V;001.1;V;000.7;V;000.6;V;000.7;V;000.7;V;000.6;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.4;V;000.5;V;00000;N
28;079;8;30;28079008_30_59;2020;04;24;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.4;V;00000;N
