PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;8;1;28079008_1_38;2020;05;16;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00008;V;00000;N
28;079;8;6;28079008_6_48;2020;05;16;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;00000;N
28;079;8;7;28079008_7_8;2020;05;16;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;8;8;28079008_8_8;2020;05;16;00011;V;00009;V;00008;V;00007;V;00008;V;00007;V;00007;V;00009;V;00011;V;00012;V;00011;V;00011;V;00010;V;00009;V;00009;V;00008;V;00009;V;00011;V;00012;V;00011;V;00013;V;00014;V;00012;V;00000;N
28;079;8;9;28079008_9_47;2020;05;16;00012;V;00004;V;00012;V;00003;V;00009;V;00002;V;00002;V;00005;V;00003;V;00006;V;00002;V;00003;V;00008;V;00009;V;00008;V;00001;V;00004;V;00030;V;00005;V;00004;V;00008;V;00005;V;00017;V;00000;N
28;079;8;10;28079008_10_47;2020;05;16;00015;V;00007;V;00016;V;00007;V;00012;V;00006;V;00003;V;00008;V;00006;V;00008;V;00004;V;00006;V;00013;V;00015;V;00011;V;00003;V;00007;V;00031;V;00009;V;00006;V;00012;V;00007;V;00023;V;00000;N
28;079;8;12;28079008_12_8;2020;05;16;00013;V;00011;V;00009;V;00009;V;00010;V;00009;V;00009;V;00011;V;00012;V;00013;V;00013;V;00013;V;00012;V;00011;V;00010;V;00010;V;00010;V;00012;V;00013;V;00012;V;00014;V;00015;V;00014;V;00000;N
28;079;8;14;28079008_14_6;2020;05;16;49.43;V;47.52;V;50.54;V;50.44;V;51.69;V;52.63;V;53.47;V;52.82;V;51.91;V;58.79;V;66.47;V;71.65;V;74.11;V;79.52;V;81.41;V;83.58;V;73.14;V;72.21;V;68.20;V;71.55;V;68.55;V;64.95;V;64.86;V;00000;N
28;079;8;20;28079008_20_59;2020;05;16;000.7;V;000.6;V;000.7;V;000.7;V;000.5;V;000.4;V;000.7;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.5;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V;000.5;V;000.6;V;000.6;V;000.7;V;00000;N
28;079;8;30;28079008_30_59;2020;05;16;000.2;V;000.2;V;000.1;V;000.3;V;000.2;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.6;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N
28;079;8;35;28079008_35_59;2020;05;16;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V;000.6;V;000.6;V;000.6;V;000.6;V;00000;N
28;079;8;42;28079008_42_2;2020;05;16;01.38;V;01.37;V;01.37;V;01.37;V;01.37;V;01.37;V;01.36;V;01.37;V;01.37;V;01.37;V;01.37;V;01.37;V;01.37;V;01.37;V;01.37;V;01.37;V;01.38;V;01.38;V;01.39;V;01.39;V;01.40;V;01.41;V;01.40;V;00000;N
28;079;8;43;28079008_43_2;2020;05;16;01.29;V;01.29;V;01.30;V;01.30;V;01.30;V;01.30;V;01.29;V;01.30;V;01.30;V;01.30;V;01.30;V;01.30;V;01.29;V;01.29;V;01.29;V;01.28;V;01.29;V;01.29;V;01.30;V;01.30;V;01.30;V;01.31;V;01.31;V;00000;N
28;079;8;44;28079008_44_2;2020;05;16;00.09;V;00.08;V;00.08;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.07;V;00.08;V;00.08;V;00.08;V;00.09;V;00.09;V;00.09;V;00.09;V;00.09;V;00.09;V;00.10;V;00.10;V;00.09;V;00000;N
28;079;11;7;28079011_7_8;2020;05;16;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00001;V;00002;V;00001;V;00003;V;00001;V;00001;V;00001;V;00001;V;00000;N
28;079;11;8;28079011_8_8;2020;05;16;00006;V;00004;V;00003;V;00005;V;00004;V;00004;V;00005;V;00007;V;00007;V;00006;V;00005;V;00005;V;00005;V;00006;V;00005;V;00005;V;00010;V;00009;V;00012;V;00008;V;00009;V;00011;V;00008;V;00000;N
28;079;11;12;28079011_12_8;2020;05;16;00008;V;00005;V;00005;V;00006;V;00005;V;00006;V;00007;V;00009;V;00008;V;00007;V;00007;V;00007;V;00006;V;00009;V;00006;V;00007;V;00014;V;00012;V;00016;V;00010;V;00011;V;00012;V;00009;V;00000;N
28;079;11;20;28079011_20_59;2020;05;16;000.3;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.5;V;000.1;V;000.3;V;000.4;V;000.4;V;000.3;V;000.1;V;000.1;V;000.1;V;00000;N
28;079;11;30;28079011_30_59;2020;05;16;000.6;V;001.9;V;000.5;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.2;V;000.1;V;00000;N
28;079;11;35;28079011_35_59;2020;05;16;000.1;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;00000;N
